Title,Year_released,media_type,theme
Destination Moon,1950,film,space_opera
Rocketship X-M,1950,film,space_opera
The Day the Earth Stood Still,1951,film,military
The Day the Earth Stood Still,1951,film,space_opera
The Thing from Another World,1951,film,aliens
When Worlds Collide,1951,film,space_opera
The Man from Planet X,1951,film,aliens
"Water, Water Every Hare",1952,film,robots
The War of the Worlds,1953,film,aliens
The War of the Worlds,1953,film,dystopia
Invaders from Mars,1953,film,aliens
Invaders from Mars,1953,film,space_opera
It Came from Outer Space,1953,film,aliens
It Came from Outer Space,1953,film,space_opera
Duck Dodgers in the 24½th Century,1953,film,space_opera
Cat-Women of the Moon,1953,film,space_opera
Robot Monster,1953,film,robots
"20,000 Leagues Under the Sea",1954,film,steampunk
The Quatermass Xperiment,1955,film,aliens
This Island Earth,1955,film,aliens
This Island Earth,1955,film,space_opera
Day the World Ended,1955,film,apocalyptic
Forbidden Planet,1956,film,robots
Forbidden Planet,1956,film,space_opera
Invasion of the Body Snatchers,1956,film,aliens
1984,1956,film,dystopia
Earth vs. the Flying Saucers,1956,film,aliens
It Conquered the World,1956,film,aliens
World Without End,1956,film,apocalyptic
World Without End,1956,film,time_travel
Plan 9 from Outer Space,1957,film,aliens
Plan 9 from Outer Space,1957,film,apocalyptic
20 Million Miles to Earth,1957,film,military
20 Million Miles to Earth,1957,film,space_opera
The Mysterians,1957,film,aliens
The Mysterians,1957,film,space_opera
Quatermass 2,1957,film,aliens
The Giant Claw,1957,film,space_opera
Not of This Earth,1957,film,aliens
It! The Terror from Beyond Space,1958,film,aliens
It! The Terror from Beyond Space,1958,film,space_opera
Attack of the 50 Foot Woman,1958,film,aliens
The Crawling Eye,1958,film,aliens
I Married a Monster from Outer Space,1958,film,aliens
I Married a Monster from Outer Space,1958,film,space_opera
Night of the Blood Beast,1958,film,aliens
Night of the Blood Beast,1958,film,space_opera
On the Beach,1959,film,apocalyptic
On the Beach,1959,film,dystopia
Battle in Outer Space,1959,film,aliens
Battle in Outer Space,1959,film,military
Battle in Outer Space,1959,film,space_opera
"The World, the Flesh and the Devil",1959,film,apocalyptic
The Angry Red Planet,1959,film,aliens
The Angry Red Planet,1959,film,space_opera
First Man into Space,1959,film,space_opera
The Time Machine,1960,film,dystopia
The Time Machine,1960,film,steampunk
The Time Machine,1960,film,time_travel
Village of the Damned,1960,film,military
The Silent Star,1960,film,aliens
The Silent Star,1960,film,space_opera
