Year_released,theme,title_count
1950,space_opera,2
1951,aliens,2
1951,military,1
1951,space_opera,2
1952,robots,1
1953,aliens,3
1953,dystopia,1
1953,robots,1
1953,space_opera,4
1954,steampunk,1
1955,aliens,2
1955,apocalyptic,1
1955,space_opera,1
1956,aliens,3
1956,apocalyptic,1
1956,dystopia,1
1956,robots,1
1956,space_opera,1
1956,time_travel,1
1957,aliens,4
1957,apocalyptic,1
1957,military,1
1957,space_opera,3
1958,aliens,5
1958,space_opera,3
1959,aliens,3
1959,apocalyptic,2
1959,dystopia,1
1959,military,1
1959,robots,1
1959,space_opera,4
1959,time_travel,1
1960,aliens,1
1960,dystopia,1
1960,military,1
1960,space_opera,1
1960,steampunk,1
1960,time_travel,1
1961,aliens,1
1961,space_opera,1
1962,aliens,1
1962,apocalyptic,2
1962,dystopia,1
1962,space_opera,1
1962,time_travel,1
1963,aliens,4
1963,alternate_universe,1
1963,dystopia,1
1963,robots,1
1963,space_opera,2
1963,time_travel,1
1964,aliens,4
1964,apocalyptic,2
1964,robots,2
1964,space_opera,2
1964,time_travel,2
1965,aliens,1
1965,apocalyptic,2
1965,dystopia,1
1965,robots,1
1965,space_opera,2
1965,time_travel,2
1966,aliens,3
1966,dystopia,1
1966,military,1
1966,robots,1
1966,space_opera,1
1966,time_travel,1
1967,aliens,3
1967,dystopia,1
1967,space_opera,1
1968,aliens,4
1968,apocalyptic,1
1968,dystopia,1
1968,robots,2
1968,space_opera,4
1968,time_travel,2
1969,aliens,1
1969,apocalyptic,1
1969,dystopia,1
1969,space_opera,3
1970,aliens,1
1970,dystopia,1
1970,military,1
1970,robots,1
1970,space_opera,2
1971,aliens,3
1971,apocalyptic,2
1971,dystopia,4
1971,robots,1
1971,space_opera,2
1971,time_travel,1
1972,aliens,2
1972,dystopia,3
1972,robots,2
1972,space_opera,2
1972,time_travel,1
1973,aliens,3
1973,apocalyptic,2
1973,cyberpunk,1
1973,dystopia,5
1973,robots,4
1973,space_opera,1
1973,time_travel,1
1974,aliens,1
1974,alternate_universe,1
1974,apocalyptic,2
1974,dystopia,1
1974,robots,2
1974,space_opera,2
1974,time_travel,1
1975,aliens,1
1975,apocalyptic,3
1975,dystopia,4
1975,robots,2
1975,space_opera,1
1976,aliens,1
1976,apocalyptic,1
1976,dystopia,2
1976,robots,2
1977,aliens,1
1977,alternate_universe,1
1977,apocalyptic,3
1977,robots,3
1977,space_opera,2
1977,time_travel,1
1978,aliens,5
1978,apocalyptic,1
1978,military,1
1978,robots,2
1978,space_opera,6
1979,aliens,7
1979,apocalyptic,3
1979,dystopia,3
1979,robots,8
1979,space_opera,8
1979,time_travel,3
1980,aliens,7
1980,apocalyptic,3
1980,dystopia,1
1980,robots,5
1980,space_opera,6
1980,time_travel,2
1981,aliens,4
1981,apocalyptic,2
1981,cyberpunk,1
1981,dystopia,2
1981,military,1
1981,space_opera,1
1981,steampunk,1
1981,time_travel,1
1982,aliens,5
1982,alternate_history,1
1982,cyberpunk,1
1982,dystopia,4
1982,robots,2
1982,space_opera,7
1982,time_travel,3
1983,aliens,2
1983,alternate_universe,1
1983,apocalyptic,5
1983,cyberpunk,1
1983,dystopia,4
1983,robots,2
1983,space_opera,3
1984,aliens,8
1984,apocalyptic,6
1984,dystopia,5
1984,military,6
1984,robots,4
1984,space_opera,4
1984,steampunk,1
1984,time_travel,4
1985,aliens,6
1985,apocalyptic,8
1985,cyberpunk,1
1985,dystopia,4
1985,robots,2
1985,space_opera,3
1985,steampunk,1
1985,time_travel,3
1986,aliens,9
1986,alternate_universe,1
1986,apocalyptic,6
1986,cyberpunk,1
1986,dystopia,2
1986,military,1
1986,robots,8
1986,space_opera,6
1986,time_travel,5
1987,aliens,5
1987,alternate_universe,1
1987,apocalyptic,3
1987,cyberpunk,1
1987,dystopia,3
1987,robots,9
1987,space_opera,6
1987,time_travel,3
1988,aliens,9
1988,apocalyptic,3
