genre,scope_label
Drama,Drama (Film + TV)
Comedy,Comedy (Film + TV)
Thriller,Thriller (Film)
Action,Action (Film + TV)
Romance,Romance (Film)
Crime,Crime (Film + TV)
Horror,Horror (Film)
Adventure,Adventure (Film)
Family,Family (Film + TV)
Animation,Animation (Film + TV)
Science Fiction,Science Fiction (Film)
Mystery,Mystery (Film + TV)
Fantasy,Fantasy (Film)
War,War (Film + TV)
History,History (Film)
Western,Western (Film + TV)
Music,Music (Film)
Sci-Fi & Fantasy,Sci-Fi & Fantasy (TV)
TV Movie,TV Movie (Film)
Documentary,Documentary (Film + TV)
Other,Other
