Book_Title,Author_Name,Year_published,status,award,theme
A Desolation Called Peace,Arkady Martine,2021,winner,Hugo & Nebula & Clarke,space_opera
A Desolation Called Peace,Arkady Martine,2021,winner,Hugo & Nebula & Clarke,military
A Master of Djinn,P. Djèlí Clark,2021,winner,Hugo & Nebula,alternate_history
A Mirror Mended,Alix E. Harrow,2023,nominee,Hugo & Nebula,alternate_universe
A Prayer for the Crown-Shy,Becky Chambers,2022,nominee,Hugo & Nebula,robots
A Psalm for the Wild-Built,Becky Chambers,2021,winner,Hugo & Nebula,robots
A Spindle Splintered,Alix E. Harrow,2022,nominee,Hugo & Nebula,alternate_universe
Alien Clay,Adrian Tchaikovsky,2025,nominee,Hugo & Nebula,aliens
Alien Clay,Adrian Tchaikovsky,2025,nominee,Hugo & Nebula,space_opera
Automatic Noodle,Annalee Newitz,2025,nominee,Hugo & Nebula,robots
Automatic Noodle,Annalee Newitz,2025,nominee,Hugo & Nebula,apocalyptic
Bishop's Opening,R. S. A. Garcia,2022,nominee,Hugo & Nebula,space_opera
Countess,Suzan Palumbo,2024,nominee,Hugo & Nebula,space_opera
Countess,Suzan Palumbo,2024,nominee,Hugo & Nebula,dystopia
Death of the Author,Nnedi Okorafor,2025,nominee,Hugo & Nebula,robots
Disgraced Return of the Kap's Needle,Renan Bernardo,2025,nominee,Hugo & Nebula,space_opera
Disgraced Return of the Kap's Needle,Renan Bernardo,2025,nominee,Hugo & Nebula,dystopia
Elder Race,Adrian Tchaikovsky,2022,nominee,Hugo & Nebula,robots
Elder Race,Adrian Tchaikovsky,2022,nominee,Hugo & Nebula,space_opera
Finna,Nino Cipri,2021,nominee,Hugo & Nebula,alternate_universe
Harrow the Ninth,Tamsyn Muir,2021,nominee,Hugo & Nebula,space_opera
Light From Uncommon Stars,Ryka Aoki,2022,nominee,Hugo & Nebula,aliens
Lost Ark Dreaming,Suyi Davies Okungbowa,2024,nominee,Hugo & Nebula,apocalyptic
Lost Ark Dreaming,Suyi Davies Okungbowa,2024,nominee,Hugo & Nebula,dystopia
Machinehood,S.B. Divya,2021,nominee,Hugo & Nebula,robots
Navigational Entanglements,Aliette de Bodard,2025,nominee,Hugo & Nebula,space_opera
Network Effect,Martha Wells,2021,winner,Hugo & Nebula,robots
Network Effect,Martha Wells,2021,winner,Hugo & Nebula,space_opera
Nona the Ninth,Tamsyn Muir,2022,nominee,Hugo & Nebula,space_opera
Ogres,Adrian Tchaikovsky,2023,nominee,Hugo & Nebula,dystopia
Plague Birds,Jason Sanford,2021,nominee,Hugo & Nebula,apocalyptic
Plague Birds,Jason Sanford,2021,nominee,Hugo & Nebula,robots
Project Hail Mary,Andy Weir,2022,nominee,Hugo & Nebula,space_opera
Project Hail Mary,Andy Weir,2022,nominee,Hugo & Nebula,aliens
Rakesfall,Vajra Chandrasekera,2024,nominee,Hugo & Nebula,dystopia
Rakesfall,Vajra Chandrasekera,2024,nominee,Hugo & Nebula,apocalyptic
Riot Baby,Tochi Onyebuchi,2021,nominee,Hugo & Nebula,dystopia
Rose/House,Arkady Martine,2024,nominee,Hugo & Nebula,robots
Service Model,Adrian Tchaikovsky,2025,nominee,Hugo & Nebula & Clarke,robots
Service Model,Adrian Tchaikovsky,2025,nominee,Hugo & Nebula & Clarke,apocalyptic
Sleeping Worlds Have No Memory,Yaroslav Barsukov,2024,nominee,Hugo & Nebula,dystopia
Some Desperate Glory,Emily Tesh,2024,winner,Hugo & Nebula & Clarke,space_opera
Some Desperate Glory,Emily Tesh,2024,winner,Hugo & Nebula & Clarke,military
Some Desperate Glory,Emily Tesh,2024,winner,Hugo & Nebula & Clarke,dystopia
The Dragonfly Gambit,A. D. Sui,2024,winner,Hugo & Nebula,military
The Dragonfly Gambit,A. D. Sui,2024,winner,Hugo & Nebula,space_opera
"The Galaxy, and the Ground Within",Becky Chambers,2022,nominee,Hugo & Nebula,space_opera
The Giants of the Violet Sea,Eugenia Triantafyllou,2021,nominee,Hugo & Nebula,aliens
The Giants of the Violet Sea,Eugenia Triantafyllou,2021,nominee,Hugo & Nebula,apocalyptic
The Kaiju Preservation Society,John Scalzi,2023,nominee,Hugo & Nebula,alternate_universe
The Mimicking of Known Successes,Malka Older,2023,nominee,Hugo & Nebula,space_opera
The Ministry of Time,Kaliane Bradley,2025,nominee,Hugo & Nebula & Clarke,time_travel
The Mountain in the Sea,Ray Nayler,2022,nominee,Hugo & Nebula & Clarke,robots
The Necessity of Stars,E. Catherine Tobler,2021,nominee,Hugo & Nebula,aliens
The Necessity of Stars,E. Catherine Tobler,2021,nominee,Hugo & Nebula,apocalyptic
The Past Is Red,Catherynne M. Valente,2022,nominee,Hugo & Nebula,apocalyptic
"The Practice, the Horizon, and the Chain",Sofia Samatar,2024,nominee,Hugo & Nebula,space_opera
"The Practice, the Horizon, and the Chain",Sofia Samatar,2024,nominee,Hugo & Nebula,dystopia
The Relentless Moon,Mary Robinette Kowal,2021,nominee,Hugo & Nebula,space_opera
The Relentless Moon,Mary Robinette Kowal,2021,nominee,Hugo & Nebula,alternate_history
The Spare Man,Mary Robinette Kowal,2023,nominee,Hugo & Nebula,space_opera
The Terraformers,Annalee Newitz,2023,nominee,Hugo & Nebula,robots
The Terraformers,Annalee Newitz,2023,nominee,Hugo & Nebula,space_opera
Translation State,Ann Leckie,2023,nominee,Hugo & Nebula,space_opera
Upright Women Wanted,Sarah Gailey,2021,nominee,Hugo & Nebula,dystopia
When We Were Real,Daryl Gregory,2025,nominee,Hugo & Nebula,robots
The Animals in that Country,,2021,winner,Clarke,apocalyptic
The Animals in that Country,,2021,winner,Clarke,dystopia
The Infinite,,2021,nominee,Clarke,time_travel
The Vanished Birds,,2021,nominee,Clarke,space_opera
The Vanished Birds,,2021,nominee,Clarke,aliens
Vagabonds,,2021,nominee,Clarke,space_opera
Edge of Heaven,,2021,nominee,Clarke,dystopia
Edge of Heaven,,2021,nominee,Clarke,robots
Chilling Effect,,2021,nominee,Clarke,space_opera
Deep Wheel Orcadia,,2022,winner,Clarke,space_opera
Klara and the Sun,,2022,nominee,Clarke,robots
A River Called Time,,2022,nominee,Clarke,alternate_history
A River Called Time,,2022,nominee,Clarke,dystopia
Wergen: The Alien Love War,,2022,nominee,Clarke,aliens
Skyward Inn,,2022,nominee,Clarke,aliens
Venomous Lumpsucker,,2023,winner,Clarke,apocalyptic
Venomous Lumpsucker,,2023,winner,Clarke,dystopia
The Coral Bones,,2023,nominee,Clarke,apocalyptic
Metronome,,2023,nominee,Clarke,dystopia
Metronome,,2023,nominee,Clarke,apocalyptic
The Anomaly,,2023,nominee,Clarke,alternate_universe
The Red Scholar's Wake,,2023,nominee,Clarke,space_opera
The Red Scholar's Wake,,2023,nominee,Clarke,robots
Plutoshine,,2023,nominee,Clarke,space_opera
In Ascension,,2024,winner,Clarke,space_opera
Chain-Gang All-Stars,,2024,nominee,Clarke,dystopia
Corey Fah Does Social Mobility,,2024,nominee,Clarke,time_travel
The Ten Percent Thief,,2024,nominee,Clarke,dystopia
Annie Bot,,2025,winner,Clarke,robots
Private Rites,,2025,nominee,Clarke,apocalyptic
Private Rites,,2025,nominee,Clarke,dystopia
Extremophile,,2025,nominee,Clarke,apocalyptic
Extremophile,,2025,nominee,Clarke,dystopia
Extremophile,,2025,nominee,Clarke,cyberpunk
