Book_Title,Author_Name,Year_published,status,award
A Desolation Called Peace,Arkady Martine,2021,winner,Hugo & Nebula
A Master of Djinn,P. Djèlí Clark,2021,winner,Hugo & Nebula
A Mirror Mended,Alix E. Harrow,2023,nominee,Hugo & Nebula
A Prayer for the Crown-Shy,Becky Chambers,2022,nominee,Hugo & Nebula
A Psalm for the Wild-Built,Becky Chambers,2021,winner,Hugo & Nebula
A Sorceress Comes to Call,T. Kingfisher,2024,nominee,Hugo & Nebula
A Spindle Splintered,Alix E. Harrow,2022,nominee,Hugo & Nebula
Across the Green Grass Fields,Seanan McGuire,2022,nominee,Hugo & Nebula
Alien Clay,Adrian Tchaikovsky,2025,nominee,Hugo & Nebula
And What Can We Offer You Tonight,Premee Mohamed,2021,winner,Hugo & Nebula
Asunder,Kerstin Hall,2024,nominee,Hugo & Nebula
Automatic Noodle,Annalee Newitz,2025,nominee,Hugo & Nebula
Babel,R. F. Kuang,2022,winner,Hugo & Nebula
Bishop's Opening,R. S. A. Garcia,2022,nominee,Hugo & Nebula
Black Sun,Rebecca Roanhorse,2021,nominee,Hugo & Nebula
But Not Too Bold,Hache Pueyo,2025,nominee,Hugo & Nebula
Come Tumbling Down,Seanan McGuire,2021,nominee,Hugo & Nebula
Countess,Suzan Palumbo,2024,nominee,Hugo & Nebula
Death of the Author,Nnedi Okorafor,2025,nominee,Hugo & Nebula
Descent,Wole Talabi,2025,nominee,Hugo & Nebula
Disgraced Return of the Kap's Needle,Renan Bernardo,2025,nominee,Hugo & Nebula
Elder Race,Adrian Tchaikovsky,2022,nominee,Hugo & Nebula
Even Though I Knew the End,C.L. Polk,2022,winner,Hugo & Nebula
Finna,Nino Cipri,2021,nominee,Hugo & Nebula
Fireheart Tiger,Aliette de Bodard,2021,nominee,Hugo & Nebula
Flowers for the Sea,Zin E. Rocklyn,2021,nominee,Hugo & Nebula
Harrow the Ninth,Tamsyn Muir,2021,nominee,Hugo & Nebula
High Times in the Low Parliament,Kelly Robson,2022,nominee,Hugo & Nebula
I Never Liked You Anyway,Jordan Kurella,2022,nominee,Hugo & Nebula
Into the Riverlands,Nghi Vo,2023,nominee,Hugo & Nebula
Katabasis,R.F. Kuang,2025,nominee,Hugo & Nebula
Legends & Lattes,Travis Baldree,2022,nominee,Hugo & Nebula
Light From Uncommon Stars,Ryka Aoki,2022,nominee,Hugo & Nebula
Linghun,Ai Jiang,2023,winner,Hugo & Nebula
Lost Ark Dreaming,Suyi Davies Okungbowa,2024,nominee,Hugo & Nebula
Machinehood,S.B. Divya,2021,nominee,Hugo & Nebula
Mammoths at the Gates,Nghi Vo,2023,nominee,Hugo & Nebula
Navigational Entanglements,Aliette de Bodard,2025,nominee,Hugo & Nebula
Nettle & Bone,T. Kingfisher,2023,winner,Hugo & Nebula
Nettle and Bone,T. Kingfisher,2022,nominee,Hugo & Nebula
Network Effect,Martha Wells,2021,winner,Hugo & Nebula
Nona the Ninth,Tamsyn Muir,2022,nominee,Hugo & Nebula
Ogres,Adrian Tchaikovsky,2023,nominee,Hugo & Nebula
Piranesi,Susanna Clarke,2021,nominee,Hugo & Nebula
Plague Birds,Jason Sanford,2021,nominee,Hugo & Nebula
Project Hail Mary,Andy Weir,2022,nominee,Hugo & Nebula
Rakesfall,Vajra Chandrasekera,2024,nominee,Hugo & Nebula
Ring Shout,P. Djèlí Clark,2021,nominee,Hugo & Nebula
Riot Baby,Tochi Onyebuchi,2021,nominee,Hugo & Nebula
Rose/House,Arkady Martine,2024,nominee,Hugo & Nebula
Service Model,Adrian Tchaikovsky,2025,nominee,Hugo & Nebula
She Who Became the Sun,Shelley Parker-Chan,2022,nominee,Hugo & Nebula
Shigidi and the Brass Head of Obalufon,Wole Talabi,2023,nominee,Hugo & Nebula
Sleeping Worlds Have No Memory,Yaroslav Barsukov,2024,nominee,Hugo & Nebula
Some Desperate Glory,Emily Tesh,2024,winner,Hugo & Nebula
Someone You Can Build a Nest In,John Wiswell,2024,winner,Hugo & Nebula
Sour Cherry,Natalia Theodoridou,2025,nominee,Hugo & Nebula
Spear,Nicola Griffith,2022,nominee,Hugo & Nebula
Starter Villain,John Scalzi,2024,nominee,Hugo & Nebula
"Sun-Daughters, Sea-Daughters",Aimee Ogden,2021,nominee,Hugo & Nebula
The Adventures of Amina al-Sirafi,Shannon Chakraborty,2024,nominee,Hugo & Nebula
The Book of Love,Kelly Link,2024,nominee,Hugo & Nebula
The Brides of High Hill,Nghi Vo,2025,nominee,Hugo & Nebula
The Buffalo Hunter Hunter,Stephen Graham Jones,2025,winner,Hugo & Nebula
The Butcher of the Forest,Premee Mohamed,2024,nominee,Hugo & Nebula
The City We Became,N.K. Jemisin,2021,nominee,Hugo & Nebula
The Crane Husband,Kelly Barnhill,2023,nominee,Hugo & Nebula
The Daughter of Doctor Moreau,Silvia Moreno-Garcia,2023,nominee,Hugo & Nebula
The Death of Mountains,Jordan Kurella,2025,nominee,Hugo & Nebula
The Dragonfly Gambit,A. D. Sui,2024,winner,Hugo & Nebula
The Empress of Salt and Fortune,Nghi Vo,2021,winner,Hugo & Nebula
"The Galaxy, and the Ground Within",Becky Chambers,2022,nominee,Hugo & Nebula
The Giants of the Violet Sea,Eugenia Triantafyllou,2021,nominee,Hugo & Nebula
The Incandescent,Emily Tesh,2025,nominee,Hugo & Nebula
The Kaiju Preservation Society,John Scalzi,2023,nominee,Hugo & Nebula
The Mimicking of Known Successes,Malka Older,2023,nominee,Hugo & Nebula
The Ministry of Time,Kaliane Bradley,2025,nominee,Hugo & Nebula
The Mountain in the Sea,Ray Nayler,2022,nominee,Hugo & Nebula
The Necessity of Stars,E. Catherine Tobler,2021,nominee,Hugo & Nebula
The Past Is Red,Catherynne M. Valente,2022,nominee,Hugo & Nebula
"The Practice, the Horizon, and the Chain",Sofia Samatar,2024,nominee,Hugo & Nebula
The Relentless Moon,Mary Robinette Kowal,2021,nominee,Hugo & Nebula
The River Has Roots,Amal El-Mohtar,2025,winner,Hugo & Nebula
The Saint of Bright Doors,Vajra Chandrasekera,2023,winner,Hugo & Nebula
The Spare Man,Mary Robinette Kowal,2023,nominee,Hugo & Nebula
The Tainted Cup,Robert Jackson Bennett,2025,winner,Hugo & Nebula
The Terraformers,Annalee Newitz,2023,nominee,Hugo & Nebula
The Tusks of Extinction,Ray Nayler,2024,winner,Hugo & Nebula
The Unbroken,C. L. Clark,2021,nominee,Hugo & Nebula
The Water Outlaws,S. L. Huang,2023,nominee,Hugo & Nebula
Thornhedge,T. Kingfisher,2023,winner,Hugo & Nebula
Translation State,Ann Leckie,2023,nominee,Hugo & Nebula
Untethered Sky,Fonda Lee,2023,nominee,Hugo & Nebula
Upright Women Wanted,Sarah Gailey,2021,nominee,Hugo & Nebula
Wearing the Lion,John Wiswell,2025,nominee,Hugo & Nebula
What Feasts at Night,T. Kingfisher,2025,nominee,Hugo & Nebula
What Moves the Dead,T. Kingfisher,2023,nominee,Hugo & Nebula
When We Were Real,Daryl Gregory,2025,nominee,Hugo & Nebula
Where the Drowned Girls Go,Seanan McGuire,2023,winner,Hugo & Nebula
Witch King,Martha Wells,2023,nominee,Hugo & Nebula
