adult,backdrop_path,genre_ids,id,title,original_language,original_title,overview,popularity,poster_path,release_date,softcore,video,vote_average,vote_count,query_year
False,/3RKBbSG68HdAeXmVa3h9G7nBMbh.jpg,"[878, 12, 18]",25392,Destination Moon,en,Destination Moon,"A team composed of an aerospace scientist, an ex-Air Force general, and an industrialist conceives an ambitious plan to land Americans on the moon. From their base in the Mojave Desert, they construct and successfully launch a spacecraft named ""Luna"" that contains a cargo of four astronauts. But a critical miscalculation of needed power to escape the moon's gravitational pull may put the astronauts' lives in danger.",2.1086,/2dsJUooqTX5BkOmkfnuuFlkmbB6.jpg,1950-06-27,False,False,5.925,100,1950
False,/a2jTsapIuYQ18Kjwp1sxjIpCCZE.jpg,"[878, 12]",37744,Rocketship X-M,en,Rocketship X-M,"Astronauts blast off to explore the moon on Rocketship X-M or ""Rocketship eXploration Moon"". A spacecraft malfunction and some fuel miscalculations cause them to end up landing on Mars. On Mars, evidence of a once powerful civilization is found. The scientists determine that an atomic war destroyed most of the Martians. Those that survived reverted to a caveman like existence.",1.4366,/kEODdwwJBEROPYpFUPWHSAm1ZTJ.jpg,1950-06-02,False,False,4.9,56,1950
False,/qwZRvb0DJ5IwDoRuKDRCBuHWzkw.jpg,"[878, 53, 18]",828,The Day the Earth Stood Still,en,The Day the Earth Stood Still,An alien and a robot land on Earth after World War II and tell mankind to be peaceful or face destruction.,5.1433,/eslDNzf0LF1m9GsgUXlmyfTcC6Y.jpg,1951-09-18,False,False,7.454,1264,1951
False,/30aHDHSHGX4HEeKlrgCwhTU72QP.jpg,"[18, 27, 878]",10785,The Thing from Another World,en,The Thing from Another World,Scientists and US Air Force officials fend off a blood-thirsty alien organism while investigating at a remote arctic outpost.,2.9805,/rm2w8dEhOGDuckB6i0Spz9lTzpR.jpg,1951-04-05,False,False,6.723,695,1951
False,/eSxcby3f435Dq5yE3kPdLLj0oi7.jpg,"[35, 878]",32568,The Man in the White Suit,en,The Man in the White Suit,"The unassuming, nebbishy inventor Sidney Stratton creates a miraculous fabric that will never be dirty or worn out. Clearly he can make a fortune selling clothes made of the material, but may cause a crisis in the process. After all, once someone buys one of his suits they won't ever have to fix them or buy another one, and the clothing industry will collapse overnight. Nevertheless, Sidney is determined to put his invention on the market, forcing the clothing factory bigwigs to resort to more desperate measures...",1.8007,/laTLoNZB7Ar3ZDoQmspBDVa5mbC.jpg,1951-08-07,False,False,6.9,210,1951
False,/3yq46OSqqCqh6nP36guN1WAwwVy.jpg,"[878, 18]",16380,When Worlds Collide,en,When Worlds Collide,"When a group of astronomers calculate a star is on a course to slam into Earth, a few days before, it's accompanying planet will first pass close enough to the Earth to cause havoc on land and sea. They set about building a rocket so a few selected individuals can escape to the planet.",1.9334,/zVBEXGxtnD83t0PfKm9uZbnpDbA.jpg,1951-09-14,False,False,6.4,210,1951
False,/2IbaHMUwb81cr7PwcvaXl0JtikP.jpg,"[878, 28, 12]",41800,Superman and the Mole Men,en,Superman and the Mole Men,"Reporters Clark Kent and Lois Lane arrive in the small town of Silsby to witness the drilling of the world's deepest oil well. The drill, however, has penetrated the underground home of a race of small, furry people who then come to the surface at night to look around. The fact that they glow in the dark scares the townfolk, who form a mob, led by the vicious Luke Benson, intent on killing the strange people. Only Superman has a chance to prevent this tragedy.",1.5196,/9b41Aa3hS2DJ1DhzLmtMcAswlys.jpg,1951-11-23,False,False,5.4,78,1951
False,/5pXhfTMklUEKVtDt6EIUKcEqtSx.jpg,"[27, 35, 878]",33475,Bud Abbott and Lou Costello Meet the Invisible Man,en,Bud Abbott and Lou Costello Meet the Invisible Man,"As novice detectives, Bud and Lou come face to face with the Invisible Man.",1.3899,/qNsAGXUy2j3pyCc72YntENPUdef.jpg,1951-03-14,False,False,6.308,120,1951
False,/6QlHa9BaC2CTcfzCgqeyGRVwlYr.jpg,"[878, 53, 27]",50153,The Man from Planet X,en,The Man from Planet X,"While watching for a planet that may collide with earth, scientists stationed in Scotland are approached by a visitor from outer space.",1.1755,/bA8TbHq96DaWxml0j3OneCBjrJG.jpg,1951-04-27,False,False,5.851,84,1951
False,/1sS6ilJQOv6QUbQ6cgZ0E7mh5qB.jpg,"[35, 878]",24008,Monkey Business,en,Monkey Business,"Research chemist Barnaby Fulton works on a fountain of youth pill for a chemical company. One of the labs chimps gets loose in the laboratory and mixes chemicals, but then pours the mix into the water cooler. When trying one of his own samples, washed down with water from the cooler, Fulton begins to act just like a twenty-year-old and believes his potion is working. Soon his wife and boss are also behaving like children.",1.9698,/cVYh7b1fLy9zzpZLX2aVNF5U12C.jpg,1952-09-03,False,False,6.7,298,1952
